"name","version","build","channel"
"_libgcc_mutex","0.1",,"conda-forge"
"_openmp_mutex","4.5",,"conda-forge"
"absl-py","2.3.1",,"conda-forge"
"alsa-lib","1.2.14",,"conda-forge"
"anndata","0.10.8",,"conda-forge"
"anyio","4.11.0",,"pypi"
"aom","3.14.1",,"conda-forge"
"appdirs","1.4.4",,"pypi"
"argon2-cffi","25.1.0",,"pypi"
"argon2-cffi-bindings","25.1.0",,"pypi"
"array-api-compat","1.11.2",,"conda-forge"
"arrow","1.3.0",,"pypi"
"asttokens","3.0.0",,"conda-forge"
"async-lru","2.0.5",,"pypi"
"attr","2.5.2",,"conda-forge"
"attrs","25.3.0",,"pypi"
"babel","2.17.0",,"pypi"
"beautifulsoup4","4.14.2",,"pypi"
"biofluff","3.0.4",,"pypi"
"biopython","1.85",,"pypi"
"biothings-client","0.4.1",,"pypi"
"bleach","6.2.0",,"pypi"
"blosc","1.21.6",,"conda-forge"
"brotli","1.1.0",,"conda-forge"
"brotli-bin","1.1.0",,"conda-forge"
"brotli-python","1.0.9",,"conda-forge"
"bzip2","1.0.8",,"conda-forge"
"c-ares","1.34.5",,"conda-forge"
"ca-certificates","2026.7.22",,"conda-forge"
"cached-property","1.5.2",,"conda-forge"
"cached_property","1.5.2",,"conda-forge"
"cairo","1.18.4",,"conda-forge"
"celloracle","0.20.0",,"pypi"
"cellrank","2.0.7",,"conda-forge"
"certifi","2025.8.3",,"conda-forge"
"cffi","2.0.0",,"pypi"
"charset-normalizer","3.4.3",,"conda-forge"
"chex","0.1.86",,"conda-forge"
"click","8.1.8",,"conda-forge"
"colorama","0.4.6",,"conda-forge"
"comm","0.2.3",,"conda-forge"
"configparser","7.2.0",,"pypi"
"contextlib2","21.6.0",,"conda-forge"
"contourpy","1.3.0",,"conda-forge"
"cpython","3.9.23",,"conda-forge"
"cuda-crt-tools","12.9.86",,"conda-forge"
"cuda-cudart","12.9.79",,"conda-forge"
"cuda-cudart_linux-64","12.9.79",,"conda-forge"
"cuda-cuobjdump","12.9.82",,"conda-forge"
"cuda-cupti","12.9.79",,"conda-forge"
"cuda-nvcc-tools","12.9.86",,"conda-forge"
"cuda-nvdisasm","12.9.88",,"conda-forge"
"cuda-nvrtc","12.9.86",,"conda-forge"
"cuda-nvtx","12.9.79",,"conda-forge"
"cuda-nvvm-tools","12.9.86",,"conda-forge"
"cuda-version","12.9",,"conda-forge"
"cudnn","9.10.2.21",,"conda-forge"
"cusparselt","0.7.0.0",,"conda-forge"
"cycler","0.12.1",,"conda-forge"
"cyrus-sasl","2.1.28",,"conda-forge"
"cython","3.1.4",,"pypi"
"dav1d","1.2.1",,"conda-forge"
"dbus","1.16.2",,"conda-forge"
"debugpy","1.8.17",,"pypi"
